Date,NAV
2022-12-01,160.50
2023-01-01,161.70
2023-02-01,162.30
2023-03-01,163.00
2023-04-01,163.80
2023-05-01,164.50
2023-06-01,165.10
2023-07-01,165.80
2023-08-01,166.50
2023-09-01,167.20
2023-10-01,167.90
2023-11-01,168.60
2023-12-01,169.30
2024-01-01,170.00
2024-02-01,170.70
2024-03-01,171.30
2024-04-01,171.95
2024-05-01,172.60
2024-06-01,173.20
2024-07-01,173.85
2024-08-01,174.50
2024-09-01,175.10
2024-10-01,175.80
2024-11-01,176.40
2024-12-01,210.10
2025-01-01,211.50
2025-02-01,212.20
2025-03-01,213.00
2025-04-01,214.25
2025-05-01,215.10
2025-06-01,216.00
2025-07-01,216.75
2025-08-01,217.30
2025-09-01,218.00
2025-10-01,218.80
2025-11-01,219.50
