Date,NAV
2022-12-01,42.20
2023-01-01,42.80
2023-02-01,43.20
2023-03-01,43.70
2023-04-01,44.10
2023-05-01,44.50
2023-06-01,45.00
2023-07-01,45.40
2023-08-01,45.90
2023-09-01,46.30
2023-10-01,46.70
2023-11-01,47.10
2023-12-01,47.60
2024-01-01,48.00
2024-02-01,48.40
2024-03-01,48.80
2024-04-01,49.20
2024-05-01,49.65
2024-06-01,50.10
2024-07-01,50.60
2024-08-01,51.00
2024-09-01,51.45
2024-10-01,51.85
2024-11-01,52.30
2024-12-01,56.80
2025-01-01,57.30
2025-02-01,57.85
2025-03-01,58.40
2025-04-01,59.00
2025-05-01,59.45
2025-06-01,59.90
2025-07-01,60.35
2025-08-01,60.75
2025-09-01,61.10
2025-10-01,61.55
2025-11-01,62.00
