Date,NAV
2022-12-01,110.50
2023-01-01,111.20
2023-02-01,111.80
2023-03-01,112.40
2023-04-01,113.00
2023-05-01,113.60
2023-06-01,114.10
2023-07-01,114.70
2023-08-01,115.20
2023-09-01,115.80
2023-10-01,116.30
2023-11-01,116.90
2023-12-01,117.50
2024-01-01,118.00
2024-02-01,118.60
2024-03-01,119.10
2024-04-01,119.70
2024-05-01,120.20
2024-06-01,120.80
2024-07-01,121.30
2024-08-01,121.90
2024-09-01,122.40
2024-10-01,122.95
2024-11-01,123.50
2024-12-01,145.00
2025-01-01,145.80
2025-02-01,146.50
2025-03-01,147.10
2025-04-01,147.75
2025-05-01,148.30
2025-06-01,148.90
2025-07-01,149.40
2025-08-01,149.90
2025-09-01,150.40
2025-10-01,150.95
2025-11-01,151.50
