Date,NAV
2022-12-01,72.12
2023-01-01,73.05
2023-02-01,73.60
2023-03-01,74.10
2023-04-01,74.80
2023-05-01,75.40
2023-06-01,76.20
2023-07-01,76.90
2023-08-01,77.50
2023-09-01,78.10
2023-10-01,78.80
2023-11-01,79.60
2023-12-01,80.30
2024-01-01,81.00
2024-02-01,81.70
2024-03-01,82.25
2024-04-01,82.90
2024-05-01,83.55
2024-06-01,84.20
2024-07-01,84.85
2024-08-01,85.50
2024-09-01,86.10
2024-10-01,86.75
2024-11-01,87.30
2024-12-01,88.45
2025-01-01,89.32
2025-02-01,90.10
2025-03-01,90.88
2025-04-01,91.75
2025-05-01,92.50
2025-06-01,93.20
2025-07-01,93.95
2025-08-01,94.60
2025-09-01,95.15
2025-10-01,95.80
2025-11-01,96.40
